2012-08-06 10:31:46 [INFO] Starting minecraft server version 1.3.1
2012-08-06 10:31:46 [INFO] Loading properties
2012-08-06 10:31:47 [WARNING] server.properties does not exist
2012-08-06 10:31:47 [INFO] Generating new properties file
2012-08-06 10:31:47 [INFO] Default game type: SURVIVAL
2012-08-06 10:31:47 [INFO] Generating keypair
2012-08-06 10:31:50 [INFO] Starting Minecraft server on *:25565
2012-08-06 10:31:52 [INFO] This server is running CraftBukkit version null (MC: 1.3.1) (Implementing API version 1.3.1-R0.1-SNAPSHOT)
2012-08-06 10:31:53 [WARNING] Could not get information about this CraftBukkit version; perhaps you are running a custom one?: FileNotFoundException
2012-08-06 10:31:53 [INFO] [PermissionsEx] sql backend registered!
2012-08-06 10:31:53 [INFO] [PermissionsEx] file backend registered!
2012-08-06 10:31:53 [INFO] [PermissionsEx] PermissionEx plugin initialized.
2012-08-06 10:31:53 [INFO] [PermissionsEx] Loading PermissionsEx v1.19.3
2012-08-06 10:31:53 [INFO] [PermissionsEx] Initializing file backend
2012-08-06 10:31:54 [INFO] [WorldEdit] Loading WorldEdit v5.3
2012-08-06 10:31:54 [INFO] [Modifyworld] Loading Modifyworld v1.19.3
2012-08-06 10:31:54 [INFO] [CommandBook] Loading CommandBook v2.1
2012-08-06 10:31:54 [INFO] [ChatManager] Loading ChatManager v1.19.1
2012-08-06 10:31:54 [INFO] [WorldGuard] Loading WorldGuard v5.5.3
2012-08-06 10:31:54 [WARNING] Failed to load operators list: java.io.FileNotFoundException: ./ops.txt (No such file or directory)
2012-08-06 10:31:54 [WARNING] Failed to load white-list: java.io.FileNotFoundException: ./white-list.txt (No such file or directory)
2012-08-06 10:31:54 [INFO] Preparing level "world"
2012-08-06 10:31:57 [INFO] Preparing start region for level 0 (Seed: 674379255451406204)
2012-08-06 10:31:59 [INFO] Preparing spawn area: 0%
2012-08-06 10:32:00 [INFO] Preparing spawn area: 0%
2012-08-06 10:32:01 [INFO] Preparing spawn area: 0%
2012-08-06 10:32:02 [INFO] Preparing spawn area: 3%
2012-08-06 10:32:03 [INFO] Preparing spawn area: 4%
2012-08-06 10:32:04 [INFO] Preparing spawn area: 4%
2012-08-06 10:32:05 [INFO] Preparing spawn area: 8%
2012-08-06 10:32:06 [INFO] Preparing spawn area: 8%
2012-08-06 10:32:07 [INFO] Preparing spawn area: 8%
2012-08-06 10:32:08 [INFO] Preparing spawn area: 12%
2012-08-06 10:32:09 [INFO] Preparing spawn area: 12%
2012-08-06 10:32:10 [INFO] Preparing spawn area: 16%
2012-08-06 10:32:12 [INFO] Preparing spawn area: 16%
2012-08-06 10:32:13 [INFO] Preparing spawn area: 20%
2012-08-06 10:32:14 [INFO] Preparing spawn area: 20%
2012-08-06 10:32:15 [INFO] Preparing spawn area: 20%
2012-08-06 10:32:16 [INFO] Preparing spawn area: 20%
2012-08-06 10:32:17 [INFO] Preparing spawn area: 24%
2012-08-06 10:32:18 [INFO] Preparing spawn area: 24%
2012-08-06 10:32:20 [INFO] Preparing spawn area: 24%
2012-08-06 10:32:21 [INFO] Preparing spawn area: 24%
2012-08-06 10:32:22 [INFO] Preparing spawn area: 28%
2012-08-06 10:32:23 [INFO] Preparing spawn area: 28%
2012-08-06 10:32:24 [INFO] Preparing spawn area: 28%
2012-08-06 10:32:25 [INFO] Preparing spawn area: 32%
2012-08-06 10:32:26 [INFO] Preparing spawn area: 32%
2012-08-06 10:32:27 [INFO] Preparing spawn area: 32%
2012-08-06 10:32:28 [INFO] Preparing spawn area: 36%
2012-08-06 10:32:29 [INFO] Preparing spawn area: 36%
2012-08-06 10:32:30 [INFO] Preparing spawn area: 40%
2012-08-06 10:32:31 [INFO] Preparing spawn area: 40%
2012-08-06 10:32:32 [INFO] Preparing spawn area: 44%
